id,kode_provinsi,nama_provinsi,indeks_pembangunan_manusia,satuan,tahun
1,11,ACEH,67.09,POIN,2010
2,12,SUMATERA UTARA,67.09,POIN,2010
3,13,SUMATERA BARAT,67.25,POIN,2010
4,14,RIAU,68.65,POIN,2010
5,15,JAMBI,65.39,POIN,2010
6,16,SUMATERA SELATAN,64.44,POIN,2010
7,17,BENGKULU,65.35,POIN,2010
8,18,LAMPUNG,63.71,POIN,2010
9,19,KEPULAUAN BANGKA BELITUNG,66.02,POIN,2010
10,21,KEPULAUAN RIAU,71.13,POIN,2010
11,31,DKI JAKARTA,76.31,POIN,2010
12,32,JAWA BARAT,66.15,POIN,2010
13,33,JAWA TENGAH,66.08,POIN,2010
14,34,DI YOGYAKARTA,75.37,POIN,2010
15,35,JAWA TIMUR,65.36,POIN,2010
16,36,BANTEN,67.54,POIN,2010
17,51,BALI,70.1,POIN,2010
18,52,NUSA TENGGARA BARAT,61.16,POIN,2010
19,53,NUSA TENGGARA TIMUR,59.21,POIN,2010
20,61,KALIMANTAN BARAT,61.97,POIN,2010
21,62,KALIMANTAN TENGAH,65.96,POIN,2010
22,63,KALIMANTAN SELATAN,65.2,POIN,2010
23,64,KALIMANTAN TIMUR,71.31,POIN,2010
24,65,KALIMANTAN UTARA,0.0,POIN,2010
25,71,SULAWESI UTARA,67.83,POIN,2010
26,72,SULAWESI TENGAH,63.29,POIN,2010
27,73,SULAWESI SELATAN,66.0,POIN,2010
28,74,SULAWESI TENGGARA,65.99,POIN,2010
29,75,GORONTALO,62.65,POIN,2010
30,76,SULAWESI BARAT,59.74,POIN,2010
31,81,MALUKU,64.27,POIN,2010
32,82,MALUKU UTARA,62.79,POIN,2010
33,91,PAPUA BARAT,59.6,POIN,2010
34,94,PAPUA,54.45,POIN,2010
35,11,ACEH,67.45,POIN,2011
36,12,SUMATERA UTARA,67.34,POIN,2011
37,13,SUMATERA BARAT,67.81,POIN,2011
38,14,RIAU,68.9,POIN,2011
39,15,JAMBI,66.14,POIN,2011
40,16,SUMATERA SELATAN,65.12,POIN,2011
41,17,BENGKULU,65.96,POIN,2011
42,18,LAMPUNG,64.2,POIN,2011
43,19,KEPULAUAN BANGKA BELITUNG,66.59,POIN,2011
44,21,KEPULAUAN RIAU,71.61,POIN,2011
45,31,DKI JAKARTA,76.98,POIN,2011
46,32,JAWA BARAT,66.67,POIN,2011
47,33,JAWA TENGAH,66.64,POIN,2011
48,34,DI YOGYAKARTA,75.93,POIN,2011
49,35,JAWA TIMUR,66.06,POIN,2011
50,36,BANTEN,68.22,POIN,2011
51,51,BALI,70.87,POIN,2011
